title,link,price,rating,num_reviews
"ALLDOCUBE Tablet 8.4 Inch, Android 15, 16GB RAM+256GB Storage, 6050mAh Battery, Support GPS/Face Recognition/4G LTE",/-/en/ALLDOCUBE-Android-Storage-6050mAh-Recognition/dp/B0FKT8NH45,SAR 649.00,4.1,(257) 
"Apple (Refurbished) 2021 iPad (10.2-inch, Wi-Fi + Cellular, 256GB) - Silver (9th Generation)",/-/en/Apple-Refurbished-10-2-inch-Wi-Fi-Cellular/dp/B0CQ2ZNK68,"SAR 1,299.00",2.9,(13) 
"URAO Tablet｜14 inch Android 15 Tablet｜30GB RAM 256GB ROM｜1920 * 1200 IPS FHD｜10000mAh 30W Fast Charging｜Octa-core Processor｜Wi-Fi 6, BT 5.4｜Dual Camera with Keyboard｜Mouse｜Stylus｜Case｜Headphone",/-/en/URAO-FHD%EF%BD%9C10000mAh-Charging%EF%BD%9COcta-core-Processor%EF%BD%9CWi-Fi-Keyboard%EF%BD%9CMouse%EF%BD%9CStylus%EF%BD%9CCase%EF%BD%9CHeadphone/dp/B0FN3SYPC6,"SAR 1,254.09",4.2,(256) 
"Apple (Refurbished) 2021 iPad Pro (11-inch, Wi-Fi, 256GB) - Space Grey (3rd Generation)",/-/en/Apple-Refurbished-11-inch-Wi-Fi-256GB/dp/B0CQ2Y11BZ,"SAR 2,399.00",2.9,(6) 
"XIAOMI Redmi Pad 2 Pro, 8 + 256 GB, 12.1"" 2.5K 120 Hz, giant 12,000 mAh battery (typical), 4 nm processor, continuous connectivity, graphite grey, WiFi",/-/en/battery-processor-continuous-connectivity-graphite/dp/B0FY1YG466,"SAR 1,334.94",4.4,(33) 
Lenovo Idea Tab - College Tablet - 11″ 2.5K IPS Touchscreen Display - 90Hz - MediaTek Dimensity 6300-8 GB Memory - 256 GB Storage - Integrated Arm Mali-G57 MC2 Tab Pen and Folio Case,/-/en/Lenovo-Idea-Tab-Touchscreen-Integrated/dp/B0FGYGBY3C,"SAR 1,120.00",4.7,(544) 
"Tablet 2026 World's First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM /2TB TF, T7250 CPU+13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Keyboard Mouse Stylus",/-/en/Android-Display-8000mAh-Widevine-Keyboard/dp/B0FDWT3MXK,"SAR 1,154.42",4.3,(496) 
"TECLAST T65 PLUS Tablet 13.4 Inch 120Hz Display Helio G99 2.2GHz Gaming Tablets Android 15, 20GB RAM + 256GB ROM (8TB TF) Tablet PC, 10000mAh/18W, 4G LTE Dual SIM + 5GWiFi, Widevine L1/13MP/BT5.2/GPS",/-/en/TECLAST-Display-Tablets-10000mAh-Widevine/dp/B09FKZ4WTG,"SAR 1,139.18",4.8,(313) 
"HUAWEI MatePad 11.5 2025 Tablet 2.5K Eye Comfort PaperMatte Display, 8+256GB, 10100 mAh, 40W SuperCharge,WPS Office,Note, Quad Speakers, Detachable Keyboard, M-Pencil, HUAWEI Care+ (Grey)",/-/en/HUAWEI-PaperMatte-SuperCharge-Speakers-Detachable/dp/B0FHWZ3KRH,"SAR 1,399.00",3.3,(4) 
"10.1"" inches Smart Tablet PC | 17 Air Tab pro max | Wireless Keyboard | RAM 24GB + ROM 1TB | Dual Sim Cards Support | orange",/-/en/17-Air-Tab-pro-Wireless/dp/B0G6V5W2LD,SAR 399.99,2.6,(3) 
Redmi Pad 2 Graphite Gray 8G RAM 256G ROM,/-/en/Redmi-Pad-Graphite-Gray-256G/dp/B0FCS17MJW,SAR 925.76,4.2,(9) 
"HUAWEI MatePad 11 PaperMatte Edition WiFi Tablet, 120Hz 2.5K FullView Display, Dedicated PC-Level WPS Office, Notes, 8GB RAM 128GB, M-Pencil Included, Black",/-/en/HUAWEI-MatePad-11-PaperMatte-Dedicated/dp/B0CKY5M9ZD,"SAR 1,099.00",4.6,(5) 
"HUAWEI MatePad 11.5 PaperMatte Tablet Gray 8+256GB, 11.5-inch FullView Display, 2.2K Resolution, 7700 mAh Battery, Weight 499g,Camera 13MP, Wifi, Bluetooth, HUAWEI Notes, Free Gift-M-Pencil Lite",/-/en/HUAWEI-PaperMatte-11-5-inch-Resolution-Gift-M-Pencil/dp/B0GD7BMZGF,"SAR 1,199.00",3.6,(11) 
Lenovo Idea Tab Plus - Lightweight Tablet - 12.1″ 2.5K IPS Touchscreen Display - 90Hz - MediaTek Dimensity 6400-8GB Memory - 128GB Storage - Integrated Arm Mali-G57 MC2 Tab Pen & Folio Case,/-/en/Lenovo-Idea-Tab-Plus-Lightweight/dp/B0FGYDJ7G6,"SAR 1,404.35",4.6,(216) 
